ticker,company_name
1023.KL,CIMB Group Holdings Berhad
3816.KL,MISC Berhad
5819.KL,Hong Leong Bank Berhad
6033.KL,PETRONAS Gas Berhad
6012.KL,Maxis Berhad
7084.KL,QL Resources Berhad
5183.KL,PETRONAS Chemicals Group Berhad
8869.KL,Press Metal Aluminium Holdings Berhad
6742.KL,YTL Power International Berhad
5681.KL,PETRONAS Dagangan Berhad
2445.KL,Kuala Lumpur Kepong Berhad
5225.KL,IHH Healthcare Berhad
4197.KL,Sime Darby Berhad
5211.KL,Sunway Berhad
4065.KL,PPB Group Berhad
1155.KL,Malayan Banking Berhad
5398.KL,Gamuda Berhad
6947.KL,Celcomdigi Berhad
1295.KL,Public Bank Berhad
5347.KL,Tenaga Nasional Berhad
6888.KL,Axiata Group Berhad
1015.KL,AMMB Holdings Berhad
4677.KL,YTL Corporation Berhad
4863.KL,Telekom Malaysia Berhad
1066.KL,RHB Bank Berhad
5296.KL,Mr D.I.Y. Group (M) Berhad
5285.KL,SD Guthrie Berhad
1961.KL,IOI Corporation Berhad
5326.KL,99 Speed Mart Retail Holdings Berhad
4707.KL,Nestlé (Malaysia) Berhad
